 ,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
1,Boston Celtics,42,32,10,2041.0,120.3,110.6,9.8,59.1,2.00,18.2,29.1,72.8,51.7,12.7,56.6,60.1,98.88,54.6,"4,203"
2,Minnesota Timberwolves,42,30,12,2026.0,114.0,108.5,5.5,63.8,1.70,19.0,27.9,72.3,51.4,15.5,56.1,59.8,98.56,54.4,"4,166"
3,Denver Nuggets,43,29,14,2064.0,118.9,113.6,5.3,66.1,2.32,20.8,30.3,71.7,51.4,12.9,56.5,59.2,97.70,52.9,"4,196"
3,Milwaukee Bucks,42,29,13,2031.0,120.7,116.9,3.7,59.6,2.05,18.8,26.4,71.8,50.1,12.6,58.0,61.5,102.45,51.6,"4,337"
3,Oklahoma City Thunder,42,29,13,2026.0,119.8,111.7,8.1,61.2,2.19,19.6,24.6,67.5,47.4,12.3,57.7,61.5,101.18,54.3,"4,267"
6,Philadelphia 76ers,41,28,13,1978.0,119.5,111.1,8.3,59.9,2.07,18.1,30.0,69.8,50.0,12.2,54.2,59.1,99.54,53.5,"4,100"
7,LA Clippers,40,26,14,1925.0,119.4,114.0,5.5,60.1,1.95,18.7,29.8,70.6,50.9,13.4,56.9,60.5,98.12,53.1,"3,939"
7,New York Knicks,43,26,17,2064.0,117.3,112.5,4.8,57.9,1.73,17.3,33.5,73.9,53.4,14.2,54.1,57.8,98.26,51.5,"4,223"
9,Cleveland Cavaliers,40,25,15,1930.0,114.7,110.8,3.9,63.3,1.92,19.1,29.8,71.9,51.1,14.1,55.0,58.0,98.66,52.6,"3,965"
9,New Orleans Pelicans,43,25,18,2069.0,117.2,112.6,4.6,63.1,2.03,19.2,29.1,71.4,50.6,13.3,55.5,59.1,99.41,52.4,"4,281"
11,Dallas Mavericks,42,24,18,2016.0,117.5,116.5,1.0,59.1,2.07,18.1,26.8,68.4,47.4,12.1,55.5,58.7,100.81,49.7,"4,235"
11,Indiana Pacers,42,24,18,2016.0,121.4,119.5,1.9,66.5,2.28,21.0,29.0,68.9,48.9,13.2,58.4,61.4,103.18,51.1,"4,336"
11,Miami Heat,42,24,18,2021.0,113.8,113.0,0.8,65.0,1.93,18.9,27.1,72.5,49.9,13.7,53.9,58.2,97.76,50.3,"4,113"
14,Phoenix Suns,41,23,18,1983.0,117.1,115.2,1.8,63.3,1.79,18.8,30.7,70.8,51.6,14.8,55.4,59.8,98.41,52.3,"4,065"
14,Sacramento Kings,41,23,18,1993.0,116.5,116.1,0.3,66.3,2.13,20.0,28.3,73.8,50.2,13.4,56.0,58.5,100.29,49.1,"4,163"
16,Orlando Magic,42,22,20,2031.0,112.2,111.5,0.7,60.6,1.66,17.7,30.2,72.5,51.1,14.8,52.9,56.8,99.05,50.7,"4,188"
16,Utah Jazz,44,22,22,2137.0,114.9,116.7,-1.7,66.3,1.74,19.2,33.7,71.6,52.9,15.8,54.0,58.1,100.72,49.7,"4,490"
18,Chicago Bulls,44,21,23,2142.0,112.5,114.2,-1.7,59.1,1.97,17.8,28.9,71.1,49.6,12.6,52.7,56.1,96.82,48.8,"4,325"
18,Los Angeles Lakers,43,21,22,2074.0,112.5,114.0,-1.5,65.9,1.96,19.8,24.8,73.1,49.8,14.0,55.0,58.6,101.08,51.1,"4,369"
20,Houston Rockets,41,20,21,1988.0,113.1,112.6,0.5,60.2,1.94,17.9,28.4,72.1,50.2,12.8,52.8,56.5,98.55,50.3,"4,083"
21,Atlanta Hawks,42,18,24,2031.0,116.7,119.0,-2.4,59.3,1.82,17.7,31.6,70.0,50.0,13.7,53.8,57.8,102.13,48.0,"4,322"
21,Golden State Warriors,40,18,22,1935.0,116.5,117.7,-1.2,66.8,1.93,19.4,32.2,71.8,51.8,14.5,54.6,58.2,99.73,49.3,"4,024"
23,Brooklyn Nets,41,17,24,1983.0,115.1,116.3,-1.3,62.6,2.08,18.6,30.6,71.7,50.7,12.7,53.3,56.4,98.53,49.2,"4,069"
24,Toronto Raptors,43,16,27,2074.0,114.9,116.5,-1.6,68.5,2.24,20.6,28.6,71.1,49.5,13.2,54.7,57.5,99.44,49.5,"4,292"
25,Memphis Grizzlies,42,15,27,2026.0,107.7,113.6,-5.9,63.5,1.69,17.8,27.5,70.7,48.5,14.6,51.5,55.0,99.59,46.4,"4,205"
26,Portland Trail Blazers,41,12,29,1988.0,107.6,116.8,-9.2,56.4,1.46,16.0,31.3,68.9,48.8,15.1,50.1,53.8,98.89,42.6,"4,096"
27,Charlotte Hornets,40,9,31,1930.0,109.1,120.7,-11.6,60.7,1.75,18.0,28.0,70.4,48.3,14.2,52.3,55.5,98.77,44.0,"3,972"
28,San Antonio Spurs,42,8,34,2026.0,109.0,117.8,-8.8,69.6,1.99,20.2,25.9,71.1,48.0,14.2,53.0,56.1,102.67,46.9,"4,336"
29,Washington Wizards,41,7,34,1968.0,111.9,120.9,-9.0,63.9,2.04,19.5,23.2,66.3,44.7,13.1,54.5,57.6,103.46,45.6,"4,238"
30,Detroit Pistons,42,4,38,2026.0,110.4,120.8,-10.4,62.9,1.67,18.6,29.1,72.0,50.1,15.5,53.3,56.8,101.34,44.5,"4,277"
